from_stop_id,to_stop_id,from_trip_id,to_trip_id,transfer_type
55665,55665,2024-05-12_16100-1_0,2024-05-12_16100-1_1,1
55665,55665,2024-05-12_16170-1_0,2024-05-12_16170-1_1,1
55665,55665,2024-05-12_1650-1_0,2024-05-12_1650-1_1,1
49205,49205,2024-05-12_31104-5_0,2024-05-12_31104-5_1,1
49205,49205,2024-05-12_31106-7_0,2024-05-12_31106-7_1,1
55665,55665,2024-05-12_36102-3_0,2024-05-12_36102-3_1,1
55665,55665,2024-05-12_36106-7_0,2024-05-12_36106-7_1,1
55665,55665,2024-05-12_60105_0,2024-05-12_60105_1,1
55665,55665,2024-05-12_6150-1_0,2024-05-12_6150-1_1,1
65300,65300,2024-05-13_13104-5_0,2024-05-13_13104-5_1,1
65300,65300,2024-05-13_13106-7_0,2024-05-13_13106-7_1,1
55665,55665,2024-05-13_16100-1_0,2024-05-13_16100-1_1,1
55665,55665,2024-05-13_16170-1_0,2024-05-13_16170-1_1,1
49205,49205,2024-05-13_31104-5_0,2024-05-13_31104-5_1,1
49205,49205,2024-05-13_31106-7_0,2024-05-13_31106-7_1,1
55665,55665,2024-05-13_36102-3_0,2024-05-13_36102-3_1,1
55665,55665,2024-05-13_36106-7_0,2024-05-13_36106-7_1,1
55665,55665,2024-05-13_5600-1_0,2024-05-13_5600-1_1,1
55665,55665,2024-05-13_60105_0,2024-05-13_60105_1,1
65300,65300,2024-05-14_13104-5_0,2024-05-14_13104-5_1,1
65300,65300,2024-05-14_13106-7_0,2024-05-14_13106-7_1,1
55665,55665,2024-05-14_16100-1_0,2024-05-14_16100-1_1,1
55665,55665,2024-05-14_16170-1_0,2024-05-14_16170-1_1,1
49205,49205,2024-05-14_31104-5_0,2024-05-14_31104-5_1,1
49205,49205,2024-05-14_31106-7_0,2024-05-14_31106-7_1,1
55665,55665,2024-05-14_36102-3_0,2024-05-14_36102-3_1,1
55665,55665,2024-05-14_36106-7_0,2024-05-14_36106-7_1,1
55665,55665,2024-05-14_5600-1_0,2024-05-14_5600-1_1,1
