route_id,service_id,trip_id,trip_headsign,trip_short_name
IC,2024-04-17,2024-04-17_1001-0,Białystok,1000 Narew
IC,2024-04-17,2024-04-17_1002-3,Białystok,1002 Zamenhof
IC,2024-04-17,2024-04-17_10100-1,Białystok,10100 Żubr
IC,2024-04-17,2024-04-17_10110-1,Warszawa Zachodnia,10110 Żubr
IC,2024-04-17,2024-04-17_1100-1,Łódź Fabryczna,1100 Narew
IC,2024-04-17,2024-04-17_1104-5,Łódź Fabryczna,1104 Skaryna
IC,2024-04-17,2024-04-17_11100-1,Terespol,11100 Podlasie
IC,2024-04-17,2024-04-17_11102-3,Terespol,11102 Mickiewicz
IC,2024-04-17,2024-04-17_11104-5,Terespol,11104 Starzyński
IC,2024-04-17,2024-04-17_11106-7,Terespol,11106 Niemcewicz
IC,2024-04-17,2024-04-17_11110-1,Warszawa Wschodnia,11110 Podlasie
IC,2024-04-17,2024-04-17_11112-3,Warszawa Wschodnia,11112 Mickiewicz
IC,2024-04-17,2024-04-17_11114-5,Warszawa Wschodnia,11114 Starzyński
IC,2024-04-17,2024-04-17_11116-7,Warszawa Wschodnia,11116 Niemcewicz
IC,2024-04-17,2024-04-17_1115-4,Terespol,1114 Skaryna
IC,2024-04-17,2024-04-17_1201-0,Lublin Główny,1200 Czartoryski
TLK,2024-04-17,2024-04-17_12010-1,Jagodin,12010 Kyiv-Express
IC,2024-04-17,2024-04-17_12100-1,Chełm,12100 Chełmianin
IC,2024-04-17,2024-04-17_12102-3,Lublin Główny,12102 Bystrzyca
IC,2024-04-17,2024-04-17_12104-5,Lublin Główny,12104 Czechowicz
IC,2024-04-17,2024-04-17_12106-7,Lublin Główny,12106 Inka
IC,2024-04-17,2024-04-17_1220-1,Kielce Główne,1220 Nida
IC,2024-04-17,2024-04-17_13000-1,Kraków Główny,143 Hańcza
EIP,2024-04-17,2024-04-17_1302-3,Kraków Główny,1302
EIP,2024-04-17,2024-04-17_1304-5,Kraków Główny,1304
EIP,2024-04-17,2024-04-17_1306-7,Kraków Główny,1306
EIP,2024-04-17,2024-04-17_1310-1,Kraków Główny,1310
IC,2024-04-17,2024-04-17_13100-1,Przemyśl Główny,13100 Malinowski
IC,2024-04-17,2024-04-17_13102-3,Kraków Główny,13102 Marszałek Piłsudski
IC,2024-04-17,2024-04-17_13104-5_0,Przemyśl Główny,13104 Witos
IC,2024-04-17,2024-04-17_13104-5_1,Przemyśl Główny,13104 Witos
IC,2024-04-17,2024-04-17_13106-7_0,Przemyśl Główny,13106 San
IC,2024-04-17,2024-04-17_13106-7_1,Przemyśl Główny,13106 San
IC,2024-04-17,2024-04-17_13109-8,Kraków Główny,13108 Reymont
EIP,2024-04-17,2024-04-17_1312-3,Kraków Główny,1312
IC,2024-04-17,2024-04-17_1320-1,Zakopane,1320 Karłowicz
IC,2024-04-17,2024-04-17_1322-3,Kraków Główny,1322 Kinga
EIC,2024-04-17,2024-04-17_1350-1,Zakopane,1350 Tatry
EIP,2024-04-17,2024-04-17_1400-1,Bielsko-Biała Główna,1400
IC,2024-04-17,2024-04-17_14000-1,Bohumin,116 Silesia
IC,2024-04-17,2024-04-17_14002-3,Bohumin,105 Polonia
IC,2024-04-17,2024-04-17_14004-5,Bohumin,131 Batory
IC,2024-04-17,2024-04-17_14006-7,Bohumin,112 Silesia
IC,2024-04-17,2024-04-17_14008-9,Bohumin Vrbice,110 Silesia
IC,2024-04-17,2024-04-17_14010-1,Petrovice U Karvine,407 Chopin
EIC,2024-04-17,2024-04-17_1410-1,Bielsko-Biała Główna,1410 Ondraszek
IC,2024-04-17,2024-04-17_1420-1,Bielsko-Biała Główna,1420 Daszyński
IC,2024-04-17,2024-04-17_1422-3,Bielsko-Biała Główna,1422 Pilecki
IC,2024-04-17,2024-04-17_1424-5,Katowice,1424 Chemik
EIP,2024-04-17,2024-04-17_1500-1,Gdynia Główna,1500
EIP,2024-04-17,2024-04-17_1502-3,Gdynia Główna,1502
IC,2024-04-17,2024-04-17_1510-1,Gdynia Główna,1510 Słowiniec
TLK,2024-04-17,2024-04-17_15102-3,Gdynia Główna,15102 Biebrza
IC,2024-04-17,2024-04-17_1512-3,Gdynia Główna,1512 Wybrzeże
IC,2024-04-17,2024-04-17_1520-1,Olsztyn Główny,1520 Warmia
IC,2024-04-17,2024-04-17_1523-2,Olsztyn Główny,1522 Mazury
IC,2024-04-17,2024-04-17_1524-5,Bydgoszcz Główna,1524 Kopernik
IC,2024-04-17,2024-04-17_1527,Bydgoszcz Główna,1526 Moniuszko
IC,2024-04-17,2024-04-17_1531-0,Bydgoszcz Główna,1530 Brda
IC,2024-04-17,2024-04-17_1533-2,Gdynia Główna,1532 Kociewie
EIC,2024-04-17,2024-04-17_1600-1,Wrocław Główny,1600 Panorama
EIP,2024-04-17,2024-04-17_1602-3,Jelenia Góra,1602
TLK,2024-04-17,2024-04-17_16100-1,Jelenia Góra,16100 Orzeszkowa
IC,2024-04-17,2024-04-17_16102-3,Wrocław Główny,16102 Konopnicka
IC,2024-04-17,2024-04-17_16104-5,Wrocław Główny,16104 Nałkowska
IC,2024-04-17,2024-04-17_16106-7,Wrocław Główny,16106 Dąbrowska
IC,2024-04-17,2024-04-17_16108-9,Wrocław Główny,16108 Oleńka
TLK,2024-04-17,2024-04-17_16170-1,Jelenia Góra,16170 Karkonosze
IC,2024-04-17,2024-04-17_1620-1,Wrocław Główny,1620 Asnyk
IC,2024-04-17,2024-04-17_1622-3,Wrocław Główny,1622 Baczyński
IC,2024-04-17,2024-04-17_1624-5,Wrocław Główny,1624 Fredro
IC,2024-04-17,2024-04-17_1626-7,Zgorzelec,1626 Łużyce
EIC,2024-04-17,2024-04-17_17000-1,Frankfurt (Oder),248 Berlin-Warszawa-Express
EIC,2024-04-17,2024-04-17_17002-3,Frankfurt (Oder),246 Berlin-Warszawa-Express
EIC,2024-04-17,2024-04-17_17004-5,Frankfurt (Oder),48 Berlin-Warszawa-Express
EIC,2024-04-17,2024-04-17_17006-7,Frankfurt (Oder),46 Berlin-Warszawa-Express
EIC,2024-04-17,2024-04-17_17008-9,Frankfurt (Oder),44 Berlin-Warszawa-Express
EIC,2024-04-17,2024-04-17_17010-1,Frankfurt (Oder),40 Berlin-Warszawa-Express
IC,2024-04-17,2024-04-17_17100-1,Zielona Góra Główna,17100 Strzelecki
IC,2024-04-17,2024-04-17_17102-3,Zielona Góra Główna,17102 Zielonogórzanin
IC,2024-04-17,2024-04-17_17104-5,Poznań Główny,17104 Warta
EIC,2024-04-17,2024-04-17_1800-1,Szczecin Główny,1800 Chrobry
IC,2024-04-17,2024-04-17_18100-1,Szczecin Główny,18100 Gałczyński
IC,2024-04-17,2024-04-17_18102-3,Świnoujście,18102 Podlasiak
IC,2024-04-17,2024-04-17_18105-4,Szczecin Główny,18104 Rybak
IC,2024-04-17,2024-04-17_18106-7,Świnoujście,18106 Mewa
TLK,2024-04-17,2024-04-17_18109-8,Szczecin Główny,18108 Włókniarz
IC,2024-04-17,2024-04-17_18110-1,Piła Główna,18110 Noteć
IC,2024-04-17,2024-04-17_18115-4,Kołobrzeg,18114 Pobrzeże
IC,2024-04-17,2024-04-17_18170-1,Świnoujście,18170 Uznam
IC,2024-04-17,2024-04-17_1900-1,Łódź Fabryczna,1900 Boryna
IC,2024-04-17,2024-04-17_1903-2,Łódź Fabryczna,1902 Łęcka
IC,2024-04-17,2024-04-17_1904-5,Łódź Fabryczna,1904 Rubinstein
IC,2024-04-17,2024-04-17_1906-7,Łódź Fabryczna,1906 Leśmian
IC,2024-04-17,2024-04-17_1909-8,Łódź Fabryczna,1908 Jagna
IC,2024-04-17,2024-04-17_1910-1,Łódź Fabryczna,1910 Tuwim
IC,2024-04-17,2024-04-17_19100-1,Łódź Fabryczna,19100 Łodzianin
IC,2024-04-17,2024-04-17_19130-1,Łódź Fabryczna,19130 Zosia
IC,2024-04-17,2024-04-17_19132-3,Łódź Fabryczna,19132 Korczak
IC,2024-04-17,2024-04-17_20100-1,Stalowa Wola Rozwadów,20100 Hetman
IC,2024-04-17,2024-04-17_2100-1,Łódź Fabryczna,2100 Czartoryski
TLK,2024-04-17,2024-04-17_21010-1,Warszawa Wschodnia,21010 Kyiv-Express
IC,2024-04-17,2024-04-17_21100-1,Warszawa Zachodnia,21100 Chełmianin
IC,2024-04-17,2024-04-17_21102-3,Warszawa Zachodnia,21102 Bystrzyca
IC,2024-04-17,2024-04-17_21105-4,Warszawa Wschodnia,21104 Czechowicz
IC,2024-04-17,2024-04-17_21107-6,Warszawa Wschodnia,21106 Inka
IC,2024-04-17,2024-04-17_2120-1,Warszawa Wschodnia,2120 Nida
IC,2024-04-17,2024-04-17_22002,Jagodin,24
IC,2024-04-17,2024-04-17_22005,Chełm,23
IC,2024-04-17,2024-04-17_22007,Chełm,19
IC,2024-04-17,2024-04-17_22008,Jagodin,120
IC,2024-04-17,2024-04-17_22011,Chełm,119
IC,2024-04-17,2024-04-17_22012,Jagodin,20
IC,2024-04-17,2024-04-17_22101-0,Hrubieszów Miasto,22100 Hetman
IC,2024-04-17,2024-04-17_23100-1,Kraków Główny,23100 Jagiełło
TLK,2024-04-17,2024-04-17_24001-0,Bohumin,310 Roztocze
IC,2024-04-17,2024-04-17_24100-1,Katowice,24100 Sztygar
IC,2024-04-17,2024-04-17_24103,Gliwice,24103 Morcinek
IC,2024-04-17,2024-04-17_25100-1,Bydgoszcz Główna,25100 Kujawiak
IC,2024-04-17,2024-04-17_2520-1,Bydgoszcz Główna,2520 Rejewski
IC,2024-04-17,2024-04-17_26100-1,Wrocław Główny,26100 Bolko
IC,2024-04-17,2024-04-17_26102-3,Wrocław Główny,26102 Morcinek
IC,2024-04-17,2024-04-17_2701-0,Zielona Góra Główna,2700 Hetman
IC,2024-04-17,2024-04-17_27100-1,Zielona Góra Główna,27100 Lubuszanin
IC,2024-04-17,2024-04-17_27102-3,Poznań Główny,27102 Koziołek
IC,2024-04-17,2024-04-17_28100-1,Szczecin Główny,28100 Staszic
IC,2024-04-17,2024-04-17_28102-3,Szczecin Główny,28102 Wyczółkowski
IC,2024-04-17,2024-04-17_28104-5,Świnoujście,28104 Górski
TLK,2024-04-17,2024-04-17_30104-5,Krynica,30104 Małopolska
TLK,2024-04-17,2024-04-17_30110-1,Zagórz,30110 Wetlina
TLK,2024-04-17,2024-04-17_30112-3,Zagórz,30112 Bieszczady
TLK,2024-04-17,2024-04-17_30170-1,Krynica,30170 Karpaty
EIP,2024-04-17,2024-04-17_3100-1,Warszawa Wschodnia,3100
IC,2024-04-17,2024-04-17_31000-1,Maćkowo,144 Hańcza
EIP,2024-04-17,2024-04-17_3102-3,Warszawa Wschodnia,3102
EIP,2024-04-17,2024-04-17_3106-7,Warszawa Wschodnia,3106
EIP,2024-04-17,2024-04-17_3108-9,Warszawa Wschodnia,3108
IC,2024-04-17,2024-04-17_31100-1,Warszawa Gdańska,31100 Malinowski
IC,2024-04-17,2024-04-17_31102-3,Warszawa Gdańska,31102 Marszałek Piłsudski
IC,2024-04-17,2024-04-17_31104-5_0,Warszawa Gdańska,31104 Witos
IC,2024-04-17,2024-04-17_31104-5_1,Warszawa Gdańska,31104 Witos
IC,2024-04-17,2024-04-17_31106-7_0,Warszawa Gdańska,31106 San
IC,2024-04-17,2024-04-17_31106-7_1,Warszawa Gdańska,31106 San
IC,2024-04-17,2024-04-17_31108-9,Łódź Fabryczna,31108 Reymont
EIP,2024-04-17,2024-04-17_3112-3,Warszawa Wschodnia,3112
IC,2024-04-17,2024-04-17_3120-1,Warszawa Wschodnia,3120 Karłowicz
IC,2024-04-17,2024-04-17_3122-3,Warszawa Wschodnia,3122 Kinga
IC,2024-04-17,2024-04-17_3128-9,Warszawa Wschodnia,3128 Łokietek
EIC,2024-04-17,2024-04-17_3150-1,Warszawa Wschodnia,3150 Tatry
IC,2024-04-17,2024-04-17_32100-1,Lublin Główny,32100 Jagiełło
TLK,2024-04-17,2024-04-17_33001,Mostiska 2,32
TLK,2024-04-17,2024-04-17_33002,Przemyśl Główny,31
IC,2024-04-17,2024-04-17_33004,Przemyśl Główny,705
TLK,2024-04-17,2024-04-17_33007,Mostiska 2,90
TLK,2024-04-17,2024-04-17_33008,Przemyśl Główny,89
IC,2024-04-17,2024-04-17_33013,Mostiska 2,716
IC,2024-04-17,2024-04-17_33014,Przemyśl Główny,715
IC,2024-04-17,2024-04-17_33017,Mostiska 2,706
TLK,2024-04-17,2024-04-17_33018,Przemyśl Główny,35
TLK,2024-04-17,2024-04-17_33025,Mostiska 2,36
TLK,2024-04-17,2024-04-17_33104-5,Kraków Główny,33104 Małopolska
TLK,2024-04-17,2024-04-17_33110-1,Kraków Główny,33110 Wetlina
TLK,2024-04-17,2024-04-17_33112-3,Kraków Główny,33112 Bieszczady
TLK,2024-04-17,2024-04-17_33170-1,Kraków Główny,33170 Karpaty
IC,2024-04-17,2024-04-17_34000-1,Petrovice U Karvine,114 Cracovia
IC,2024-04-17,2024-04-17_34002-3,Bohumin,107 Porta Moravica
TLK,2024-04-17,2024-04-17_34004-5,Petrovice U Karvine,212 Galicja
IC,2024-04-17,2024-04-17_34006-7,Petrovice U Karvine,103 Danubius
EIP,2024-04-17,2024-04-17_3500-1,Gdynia Główna,3500
EIP,2024-04-17,2024-04-17_3502-3,Gdynia Główna,3502
EIP,2024-04-17,2024-04-17_3504-5,Gdynia Główna,3504
EIP,2024-04-17,2024-04-17_3506-7,Gdynia Główna,3506
EIP,2024-04-17,2024-04-17_3508-9,Gdynia Główna,3508
EIP,2024-04-17,2024-04-17_3510-1,Gdynia Główna,3510
TLK,2024-04-17,2024-04-17_35102-3,Gdynia Główna,35102 Lubomirski
TLK,2024-04-17,2024-04-17_35104-5,Gdynia Główna,35104 Małopolska
IC,2024-04-17,2024-04-17_3512-3,Gdynia Główna,3512 Piast
IC,2024-04-17,2024-04-17_3514-5,Gdynia Główna,3514 Artus
TLK,2024-04-17,2024-04-17_35170-1,Gdynia Główna,35170 Karpaty
TLK,2024-04-17,2024-04-17_35172-3,Gdynia Główna,35172 Rozewie
IC,2024-04-17,2024-04-17_3520-1,Olsztyn Główny,3520 Żeromski
IC,2024-04-17,2024-04-17_3522-3,Olsztyn Główny,3522 Sienkiewicz
IC,2024-04-17,2024-04-17_3524-5,Olsztyn Główny,3524 Kolberg
IC,2024-04-17,2024-04-17_3526-7,Olsztyn Główny,3526 Orłowicz
IC,2024-04-17,2024-04-17_3532-3,Bydgoszcz Główna,3532 Kochanowski
IC,2024-04-17,2024-04-17_3534-5,Bydgoszcz Główna,3534 Kazimierz
IC,2024-04-17,2024-04-17_3560-1,Gdynia Główna,3560 Witkacy
IC,2024-04-17,2024-04-17_3600-1,Wrocław Główny,3600 Wyspiański
IC,2024-04-17,2024-04-17_3602-3,Wrocław Główny,3602 Siemiradzki
IC,2024-04-17,2024-04-17_3604-5,Wrocław Główny,3604 Grottger
IC,2024-04-17,2024-04-17_36100-1,Wrocław Główny,36100 Boznańska
TLK,2024-04-17,2024-04-17_36102-3,Jelenia Góra,36102 Sudety
TLK,2024-04-17,2024-04-17_36106-7,Jelenia Góra,36106 Szczeliniec
IC,2024-04-17,2024-04-17_3700-1,Poznań Główny,3700 Ślązak
IC,2024-04-17,2024-04-17_37000-1,Frankfurt (Oder),56 Wawel
IC,2024-04-17,2024-04-17_37002-3,Frankfurt (Oder),54 Odra
IC,2024-04-17,2024-04-17_37100-1,Poznań Główny,37100 Pułaski
IC,2024-04-17,2024-04-17_37102-3,Poznań Główny,37102 Wybicki
IC,2024-04-17,2024-04-17_37104-5,Zielona Góra Główna,37104 Mehoffer
IC,2024-04-17,2024-04-17_3720-1,Poznań Główny,3720 Cegielski
IC,2024-04-17,2024-04-17_3722-3,Poznań Główny,3722 Barbakan
EIP,2024-04-17,2024-04-17_3800-1,Kołobrzeg,3800
IC,2024-04-17,2024-04-17_3804-5,Szczecin Główny,3804 Matejko
IC,2024-04-17,2024-04-17_3806-7,Kołobrzeg,3806 Malczewski
IC,2024-04-17,2024-04-17_38100-1,Kołobrzeg,38100 Zamoyski
IC,2024-04-17,2024-04-17_38102-3,Świnoujście,38102 Chełmoński
IC,2024-04-17,2024-04-17_38106-7,Piła Główna,38106 Miechowita
TLK,2024-04-17,2024-04-17_38170-1,Kołobrzeg,38171 Ustronie
IC,2024-04-17,2024-04-17_38172-3,Świnoujście,38172 Przemyślanin
IC,2024-04-17,2024-04-17_3820-1,Szczecin Główny,3820 Osterwa
IC,2024-04-17,2024-04-17_40001,Bohumin,101 Moravia
IC,2024-04-17,2024-04-17_41000-1,Warszawa Gdańska,117 Silesia
IC,2024-04-17,2024-04-17_41002-3,Warszawa Wschodnia,104 Polonia
IC,2024-04-17,2024-04-17_41004-5,Warszawa Wschodnia,130 Batory
IC,2024-04-17,2024-04-17_41006-7,Warszawa Gdańska,113 Silesia
IC,2024-04-17,2024-04-17_41008-9,Warszawa Gdańska,111 Silesia
IC,2024-04-17,2024-04-17_41010-1,Warszawa Wschodnia,406 Chopin
EIC,2024-04-17,2024-04-17_4110-1,Warszawa Wschodnia,4110 Ondraszek
IC,2024-04-17,2024-04-17_4120-1,Warszawa Wschodnia,4120 Daszyński
IC,2024-04-17,2024-04-17_4122-3,Białystok,4122 Pilecki
IC,2024-04-17,2024-04-17_4124-5,Płock,4124 Chemik
TLK,2024-04-17,2024-04-17_42000-1,Lublin Główny,311 Roztocze
IC,2024-04-17,2024-04-17_42100-1,Lublin Główny,42100 Sztygar
IC,2024-04-17,2024-04-17_42102,Kielce Główne,42102 Morcinek
IC,2024-04-17,2024-04-17_43000-1,Przemyśl Główny,115 Cracovia
IC,2024-04-17,2024-04-17_43002-3,Przemyśl Główny,106 Porta Moravica
TLK,2024-04-17,2024-04-17_43004-5,Kraków Główny,213 Galicja
IC,2024-04-17,2024-04-17_43006-7,Kraków Główny,102 Danubius
IC,2024-04-17,2024-04-17_44000,Katowice,100 Moravia
EIP,2024-04-17,2024-04-17_4500-1,Gdynia Główna,4500
IC,2024-04-17,2024-04-17_45000-1,Gdynia Główna,108 Sobieski
EIP,2024-04-17,2024-04-17_4502-3,Gdynia Główna,4502
EIP,2024-04-17,2024-04-17_4504-5,Gdynia Główna,4504
EIP,2024-04-17,2024-04-17_4506-7,Gdynia Główna,4506
EIP,2024-04-17,2024-04-17_4508-9,Gdynia Główna,4508
TLK,2024-04-17,2024-04-17_45103-2,Gdynia Główna,45102 Flisak
IC,2024-04-17,2024-04-17_45150-1,Bydgoszcz Główna,45150 Halny
IC,2024-04-17,2024-04-17_4520-1,Gdynia Główna,4520 Hutnik
IC,2024-04-17,2024-04-17_4522-3,Olsztyn Główny,4522 Skarbek
IC,2024-04-17,2024-04-17_4524-5,Olsztyn Główny,4524 Kormoran
IC,2024-04-17,2024-04-17_4526-7,Gdynia Główna,4526 Doker
IC,2024-04-17,2024-04-17_46000-1,Wrocław Główny,202 Danubius
ZKA TLK,2024-04-17,2024-04-17_46103,Prudnik,ZKA 620 Szczeliniec
ZKA TLK,2024-04-17,2024-04-17_46107,Prudnik,ZKA 622 Sudety
IC,2024-04-17,2024-04-17_47101,Poznań Główny,47100 Spodek
IC,2024-04-17,2024-04-17_48101-0,Słupsk,48100 Gwarek
IC,2024-04-17,2024-04-17_48102-3,Ustka,48102 Szyndzielnia
ZKA IC,2024-04-17,2024-04-17_50111-0,Giżycko,ZKA 608 Warmia
ZKA IC,2024-04-17,2024-04-17_50113-2,Giżycko,ZKA 606 Mamry
EIP,2024-04-17,2024-04-17_5100-1,Warszawa Centralna,5100
EIP,2024-04-17,2024-04-17_5102-3,Warszawa Centralna,5102
EIP,2024-04-17,2024-04-17_5104-5,Warszawa Centralna,5104
IC,2024-04-17,2024-04-17_5110-1,Warszawa Zachodnia,5110 Słowiniec
TLK,2024-04-17,2024-04-17_51102-3,Warszawa Wschodnia,51102 Biebrza
IC,2024-04-17,2024-04-17_5112-3,Warszawa Zachodnia,5112 Wybrzeże
IC,2024-04-17,2024-04-17_5122-3,Łódź Fabryczna,5122 Mazury
IC,2024-04-17,2024-04-17_5124-5,Warszawa Wschodnia,5124 Kopernik
IC,2024-04-17,2024-04-17_5126-7,Warszawa Centralna,5126 Moniuszko
IC,2024-04-17,2024-04-17_5130-1,Warszawa Zachodnia,5130 Brda
IC,2024-04-17,2024-04-17_5132-3,Łódź Fabryczna,5132 Kociewie
IC,2024-04-17,2024-04-17_52100-1,Chełm,52100 Kujawiak
IC,2024-04-17,2024-04-17_5220-1,Lublin Główny,5220 Rejewski
EIP,2024-04-17,2024-04-17_5300-1,Kraków Główny,5300
EIP,2024-04-17,2024-04-17_5302-3,Kraków Główny,5302
EIP,2024-04-17,2024-04-17_5304-5,Kraków Główny,5304
EIP,2024-04-17,2024-04-17_5306-7,Kraków Główny,5306
EIP,2024-04-17,2024-04-17_5308-9,Rzeszów Główny,5308
EIP,2024-04-17,2024-04-17_5310-1,Kraków Główny,5310
TLK,2024-04-17,2024-04-17_53102-3,Kraków Główny,53102 Lubomirski
TLK,2024-04-17,2024-04-17_53104-5,Zakopane,53104 Małopolska
IC,2024-04-17,2024-04-17_5312-3,Kraków Główny,5312 Piast
IC,2024-04-17,2024-04-17_5314-5,Przemyśl Główny,5314 Artus
TLK,2024-04-17,2024-04-17_53170-1,Zakopane,53170 Karpaty
TLK,2024-04-17,2024-04-17_53172-3,Kraków Główny,53173 Rozewie
IC,2024-04-17,2024-04-17_5320-1,Kraków Główny,5320 Żeromski
IC,2024-04-17,2024-04-17_5322-3,Kraków Główny,5322 Sienkiewicz
IC,2024-04-17,2024-04-17_5324-5,Kraków Główny,5324 Kolberg
IC,2024-04-17,2024-04-17_5326-7,Kraków Główny,5326 Orłowicz
IC,2024-04-17,2024-04-17_5328-9,Kraków Główny,5328 Warmia
IC,2024-04-17,2024-04-17_5332-3,Rzeszów Główny,5332 Kochanowski
IC,2024-04-17,2024-04-17_5334-5,Kraków Główny,5334 Kazimierz
IC,2024-04-17,2024-04-17_5360-1,Zakopane,5360 Witkacy
EIP,2024-04-17,2024-04-17_5400-1,Gliwice,5400
IC,2024-04-17,2024-04-17_54000-1,Bohumin,109 Sobieski
EIP,2024-04-17,2024-04-17_5402-3,Bielsko-Biała Główna,5402
EIP,2024-04-17,2024-04-17_5404-5,Gliwice,5404
EIP,2024-04-17,2024-04-17_5406-7,Bielsko-Biała Główna,5406
TLK,2024-04-17,2024-04-17_54102-3,Katowice,54102 Flisak
IC,2024-04-17,2024-04-17_54150-1,Bielsko-Biała Główna,54150 Halny
IC,2024-04-17,2024-04-17_5420-1,Bielsko-Biała Główna,5420 Hutnik
IC,2024-04-17,2024-04-17_5422-3,Racibórz,5422 Skarbek
IC,2024-04-17,2024-04-17_5424-5,Bielsko-Biała Główna,5424 Kormoran
IC,2024-04-17,2024-04-17_5426-7,Katowice,5426 Doker
ZKA IC,2024-04-17,2024-04-17_55111-0,Olsztyn Główny,ZKA 605 Warmia
ZKA IC,2024-04-17,2024-04-17_55113-2,Olsztyn Główny,ZKA 607 Mamry
IC,2024-04-17,2024-04-17_5600-1,Jelenia Góra,5600 Pomorzanin
IC,2024-04-17,2024-04-17_5602-3,Wrocław Główny,5602 Heweliusz
IC,2024-04-17,2024-04-17_5604-5,Wrocław Główny,5604 Mieszko
IC,2024-04-17,2024-04-17_56102-3,Wrocław Główny,56102 Mamry
IC,2024-04-17,2024-04-17_56104-5,Wrocław Główny,56104 Jeziorak
IC,2024-04-17,2024-04-17_5620-1,Wrocław Główny,5620 Słowacki
IC,2024-04-17,2024-04-17_5700-1,Poznań Główny,5700 Bałtyk
IC,2024-04-17,2024-04-17_57000-1,Frankfurt (Oder),58 Gedania
IC,2024-04-17,2024-04-17_57100-1,Zielona Góra Główna,57100 Ukiel
IC,2024-04-17,2024-04-17_57102-3,Poznań Główny,57102 Drwęca
IC,2024-04-17,2024-04-17_57104-5,Zielona Góra Główna,57104 Bachus
IC,2024-04-17,2024-04-17_57106-7,Poznań Główny,57106 Lednica
IC,2024-04-17,2024-04-17_57108-9,Zielona Góra Główna,57108 Stoczniowiec
IC,2024-04-17,2024-04-17_58100-1,Szczecin Główny,58100 Albatros
IC,2024-04-17,2024-04-17_58103-2,Szczecin Główny,58102 Żuławy
IC,2024-04-17,2024-04-17_58104-5,Szczecin Główny,58104 Bryza
IC,2024-04-17,2024-04-17_58107-6,Szczecin Główny,58106 Gryf
IC,2024-04-17,2024-04-17_58109-8,Szczecin Główny,58108 Stańczyk
TLK,2024-04-17,2024-04-17_58110-1,Kostrzyn,58110 Bory Tucholskie
TLK,2024-04-17,2024-04-17_60103,Kłodzko Miasto,60103 Rozewie
IC,2024-04-17,2024-04-17_60105,Jelenia Góra,60105 Matejko
IC,2024-04-17,2024-04-17_60107,Kłodzko Miasto,60107 Heweliusz
EIC,2024-04-17,2024-04-17_6100-1,Warszawa Wschodnia,6100 Panorama
EIP,2024-04-17,2024-04-17_6102-3,Warszawa Wschodnia,6102
TLK,2024-04-17,2024-04-17_61100-1,Warszawa Gdańska,61100 Orzeszkowa
IC,2024-04-17,2024-04-17_61103-2,Warszawa Wschodnia,61102 Konopnicka
IC,2024-04-17,2024-04-17_61104-5,Białystok,61104 Nałkowska
IC,2024-04-17,2024-04-17_61107-6,Białystok,61106 Dąbrowska
IC,2024-04-17,2024-04-17_61108-9,Warszawa Gdańska,61108 Oleńka
TLK,2024-04-17,2024-04-17_61170-1,Warszawa Wschodnia,61170 Karkonosze
IC,2024-04-17,2024-04-17_6121-0,Warszawa Wschodnia,6120 Asnyk
IC,2024-04-17,2024-04-17_6123-2,Warszawa Wschodnia,6122 Baczyński
IC,2024-04-17,2024-04-17_6124-5,Białystok,6124 Fredro
IC,2024-04-17,2024-04-17_6126-7,Warszawa Wschodnia,6126 Łużyce
IC,2024-04-17,2024-04-17_62100-1,Lublin Główny,62100 Bolko
IC,2024-04-17,2024-04-17_62102-3,Lublin Główny,62102 Morcinek
IC,2024-04-17,2024-04-17_6300-1,Przemyśl Główny,6300 Wyspiański
IC,2024-04-17,2024-04-17_6302-3,Przemyśl Główny,6302 Siemiradzki
IC,2024-04-17,2024-04-17_6304-5,Przemyśl Główny,6304 Grottger
IC,2024-04-17,2024-04-17_63100-1,Kraków Główny,63100 Boznańska
TLK,2024-04-17,2024-04-17_63102-3,Kraków Główny,63102 Sudety
TLK,2024-04-17,2024-04-17_63106-7,Kraków Główny,63106 Szczeliniec
IC,2024-04-17,2024-04-17_64000-1,Bohumin,203 Danubius
ZKA TLK,2024-04-17,2024-04-17_64100,Kędzierzyn Koźle,ZKA 623 Sudety
ZKA TLK,2024-04-17,2024-04-17_64102,Głogówek,ZKA 624 Sudety
ZKA TLK,2024-04-17,2024-04-17_64104,Kędzierzyn Koźle,ZKA 625 Szczeliniec
ZKA TLK,2024-04-17,2024-04-17_64106,Głogówek,ZKA 626 Szczeliniec
IC,2024-04-17,2024-04-17_6500-1,Gdynia Główna,6500 Pomorzanin
IC,2024-04-17,2024-04-17_6503-2,Gdynia Główna,6502 Heweliusz
IC,2024-04-17,2024-04-17_6505-4,Gdynia Główna,6504 Mieszko
IC,2024-04-17,2024-04-17_65103-2,Olsztyn Główny,65102 Mamry
IC,2024-04-17,2024-04-17_65105-4,Olsztyn Główny,65104 Jeziorak
IC,2024-04-17,2024-04-17_6521-0,Ełk,6520 Słowacki
TLK,2024-04-17,2024-04-17_66102,Wrocław Główny,66102 Rozewie
IC,2024-04-17,2024-04-17_66104,Wrocław Główny,66104 Matejko
IC,2024-04-17,2024-04-17_66106,Wrocław Główny,66106 Heweliusz
ZKA TLK,2024-04-17,2024-04-17_66111,Nysa,ZKA 619 Szczeliniec
ZKA TLK,2024-04-17,2024-04-17_66113,Nysa,ZKA 621 Sudety
